City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,pimenta bueno,-11.6725,-61.1936,88.32,30,71,2.39,BR,1723158708
268,yanchep,-31.55,115.6833,52.48,92,7,7.09,AU,1723158710
269,syktyvkar,61.6764,50.8099,47.93,100,100,0.0,RU,1723158712
270,kuta,-8.7233,115.1723,76.95,94,75,11.5,ID,1723158714
271,port lincoln,-34.7333,135.8667,52.9,79,100,6.35,AU,1723158716
272,fisterra,42.9049,-9.2629,66.2,88,0,16.82,ES,1723158717
273,yeppoon,-23.1333,150.7333,63.63,78,26,12.86,AU,1723158719
274,pecan plantation,32.3604,-97.6756,101.95,36,2,10.98,US,1723158721
275,saudarkrokur,65.7461,-19.6394,44.11,92,100,4.0,IS,1723158724
276,lazaro cardenas,17.9583,-102.2,86.97,73,62,8.14,MX,1723158726
277,megion,61.0296,76.1136,52.74,71,100,11.36,RU,1723158728
278,bushehr,28.9684,50.8385,89.2,78,49,14.27,IR,1723158729
279,ta`u,-14.2336,-169.5144,77.31,74,84,22.1,AS,1723158731
280,iskateley,67.6803,53.1512,43.11,84,27,4.23,RU,1723158733
281,longyearbyen,78.2186,15.6401,53.44,87,0,4.61,SJ,1723158734
282,hillsborough,37.5741,-122.3794,73.9,73,20,25.32,US,1723158736
283,quellon,-43.1167,-73.6167,44.62,90,100,6.89,CL,1723158499
284,nemuro,43.3236,145.575,65.89,99,100,7.36,JP,1723158739
285,dazhou,31.2159,107.5009,79.18,81,85,3.04,CN,1723158741
286,dunedin,-45.8742,170.5036,50.81,64,27,2.19,NZ,1723158742
287,kegeyli shahar,42.7767,59.6078,80.35,47,0,10.04,UZ,1723158744
288,somerset east,-32.7217,25.588,52.59,29,0,7.99,ZA,1723158746
289,cartagena del chaira,1.3349,-74.8429,79.59,73,28,1.81,CO,1723158748
290,callao,-12.0667,-77.15,61.09,77,100,8.05,PE,1723158750
291,yangambi,0.8102,24.4336,71.13,94,39,2.95,CD,1723158751
292,touros,-5.1989,-35.4608,75.22,85,0,12.8,BR,1723158753
293,xique xique,-10.8217,-42.7311,78.01,46,0,2.26,BR,1723158755
294,chonchi,-42.6128,-73.8092,44.13,92,100,1.41,CL,1723158757
295,bayganin,48.6947,55.8742,69.4,71,2,6.96,KZ,1723158758
296,sao felix do xingu,-6.6447,-51.995,80.1,32,0,0.78,BR,1723158760
297,khandyga,62.6667,135.6,62.35,65,41,1.1,RU,1723158762
298,coari,-4.085,-63.1414,84.42,41,4,1.12,BR,1723158764
299,mariinsk,56.2139,87.7472,57.65,98,42,4.36,RU,1723158766
300,kununurra,-15.7667,128.7333,69.78,46,6,6.91,AU,1723158768
301,monte alegre,-2.0078,-54.0692,84.33,47,19,4.05,BR,1723158771
302,oyugis,-0.509,34.7358,62.62,80,84,5.35,KE,1723158773
303,la foa,-21.7108,165.8276,72.91,61,0,2.28,NC,1723158774
304,wotho,10.1657,166.0102,83.52,74,15,14.99,MH,1723158776
305,kadom,54.5592,42.4675,60.1,97,100,5.73,RU,1723158778
306,banaz,38.7371,29.7519,69.22,46,0,7.14,TR,1723158780
307,nagqu,31.5,92.0,39.06,92,100,3.4,CN,1723158782
308,laojunmiao,39.8333,97.7333,58.03,63,34,21.94,CN,1723158784
309,gramoteino,54.5368,86.3839,58.48,96,95,2.06,RU,1723158785
310,tsiombe,-25.3,45.4833,66.63,77,0,3.98,MG,1723158787
311,texarkana,33.4251,-94.0477,97.02,54,0,5.75,US,1723158663
312,ladnun,27.65,74.3833,81.07,79,100,9.01,IN,1723158793
313,greymouth,-42.4667,171.2,50.67,73,60,8.43,NZ,1723158794
314,kudahuvadhoo,2.6708,72.8944,81.57,72,90,4.97,MV,1723158796
315,ilsenburg,51.8667,10.6833,61.18,100,61,4.09,DE,1723158798
316,selty,57.3132,52.1345,53.74,91,42,6.46,RU,1723158800
317,ilha de mocambique,-15.0342,40.7358,74.62,77,0,3.96,MZ,1723158801
318,fort mcmurray,56.7268,-111.381,77.14,25,8,3.11,CA,1723158772
319,vilyuchinsk,52.9306,158.4028,56.08,99,100,4.54,RU,1723158805
320,freetown,8.484,-13.2299,76.12,88,100,6.87,SL,1723158807
321,igrim,63.1906,64.4162,46.62,88,3,3.8,RU,1723158808
322,kaiapoi,-43.3783,172.6401,47.46,88,100,11.5,NZ,1723158810
323,korla,41.7597,86.1469,71.83,47,0,4.81,CN,1723158812
324,tralee,52.2704,-9.7026,56.26,92,97,8.66,IE,1723158814
325,kayangel,8.0823,134.7173,83.75,71,100,6.02,PW,1723158816
326,usinsk,65.9939,57.5281,48.42,78,2,8.19,RU,1723158817
327,ponta delgada,37.7333,-25.6667,72.32,78,20,9.22,PT,1723158819
328,fiambala,-27.6871,-67.6149,36.7,57,1,6.64,AR,1723158821
329,udachny,66.4167,112.4,49.71,88,100,10.71,RU,1723158823
330,tayga,56.06,85.6197,53.96,99,60,4.45,RU,1723158824
331,gao,16.6362,1.637,90.54,45,84,10.0,ML,1723158826
332,tangalle,6.024,80.7911,79.09,82,99,10.6,LK,1723158769
333,kokemaki,61.2565,22.3564,58.05,93,97,4.68,FI,1723158829
334,labrador city,52.9463,-66.9114,53.35,62,99,4.09,CA,1723158831
335,filipstad,59.7124,14.1683,53.24,96,61,4.25,SE,1723158833
336,brigantine,39.4101,-74.3646,77.05,96,100,11.5,US,1723158834
337,uturoa,-16.7333,-151.4333,78.6,77,7,6.85,PF,1723158836
338,lakatoro,-16.0999,167.4164,77.29,65,27,15.64,VU,1723158838
339,kone,-21.0595,164.8658,78.13,47,4,3.47,NC,1723158839
340,zhaotong,27.3167,103.7167,62.8,94,4,3.2,CN,1723158841
341,filomeno mata,20.2,-97.7,81.3,78,100,3.02,MX,1723158843
342,roma,43.2128,-75.4557,64.54,96,100,8.05,US,1723158845
343,chinchilla,-26.75,150.6333,57.02,83,0,1.99,AU,1723158847
344,guilin,25.2819,110.2864,78.71,90,5,2.15,CN,1723158848
345,castillos,-34.1667,-53.8333,45.82,66,58,8.81,UY,1723158850
346,kourou,5.1552,-52.6478,79.09,85,11,8.43,GF,1723158852
347,affery,6.315,-3.9603,69.67,96,96,3.11,CI,1723158855
348,kharian,32.8149,73.8636,84.47,72,88,5.86,PK,1723158857
349,fada,7.25,4.0667,69.91,92,46,2.55,NG,1723158859
350,kapa'a,22.0752,-159.319,84.52,65,20,11.5,US,1723158860
351,chuhar jamali,24.3895,67.9923,82.27,84,65,13.4,PK,1723158862
352,tarija,-21.5355,-64.7296,40.91,70,75,11.5,BO,1723158637
353,girvan,55.2426,-4.8555,59.61,96,100,21.34,GB,1723158865
354,goba,7.0167,39.9833,50.97,91,48,3.65,ET,1723158867
355,tynda,55.1667,124.7167,61.9,82,99,1.45,RU,1723158869
356,masuguru,-11.3667,38.4167,69.08,77,46,3.2,TZ,1723158870
357,norilsk,69.3535,88.2027,46.36,77,10,4.38,RU,1723158872
358,atafu village,-8.5421,-172.5159,83.05,76,96,17.45,TK,1723158874
359,santa luzia,-19.7697,-43.8514,73.78,53,2,2.46,BR,1723158876
360,fuerte olimpo,-21.0415,-57.8738,59.41,71,100,4.9,PY,1723158877
361,chancay,-11.5714,-77.2672,62.35,83,50,6.11,PE,1723158879
362,new plymouth,-39.0667,174.0833,51.31,100,72,3.13,NZ,1723158881
